"COUNTY","SHORTPOSTCODE","TOWN","DISTRICT","YEAR","AVGPRICE"
"EAST RIDING OF YORKSHIRE","","BEVERLEY","EAST RIDING OF YORKSHIRE",2019,3000
"EAST RIDING OF YORKSHIRE","","BEVERLEY","EAST RIDING OF YORKSHIRE",2020,419750
"EAST RIDING OF YORKSHIRE","","BEVERLEY","EAST RIDING OF YORKSHIRE",2022,2750
"EAST RIDING OF YORKSHIRE","","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2021,40000
"EAST RIDING OF YORKSHIRE","","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2022,183333.333333333
"EAST RIDING OF YORKSHIRE","","COTTINGHAM","EAST RIDING OF YORKSHIRE",2020,4050
"EAST RIDING OF YORKSHIRE","","COTTINGHAM","EAST RIDING OF YORKSHIRE",2021,355000
"EAST RIDING OF YORKSHIRE","","DRIFFIELD","EAST RIDING OF YORKSHIRE",2020,475000
"EAST RIDING OF YORKSHIRE","","DRIFFIELD","EAST RIDING OF YORKSHIRE",2021,147000
"EAST RIDING OF YORKSHIRE","","GOOLE","EAST RIDING OF YORKSHIRE",2019,1772666.66666667
"EAST RIDING OF YORKSHIRE","","GOOLE","EAST RIDING OF YORKSHIRE",2021,487500
"EAST RIDING OF YORKSHIRE","","GOOLE","EAST RIDING OF YORKSHIRE",2022,153000
"EAST RIDING OF YORKSHIRE","","HESSLE","EAST RIDING OF YORKSHIRE",2021,173000
"EAST RIDING OF YORKSHIRE","","HULL","EAST RIDING OF YORKSHIRE",2019,186333.333333333
"EAST RIDING OF YORKSHIRE","","HULL","EAST RIDING OF YORKSHIRE",2020,16000
"EAST RIDING OF YORKSHIRE","","HULL","EAST RIDING OF YORKSHIRE",2022,490000
"EAST RIDING OF YORKSHIRE","","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2019,415000
"EAST RIDING OF YORKSHIRE","","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2020,360000
"EAST RIDING OF YORKSHIRE","","YORK","EAST RIDING OF YORKSHIRE",2019,92400
"EAST RIDING OF YORKSHIRE","","YORK","EAST RIDING OF YORKSHIRE",2020,52000
"EAST RIDING OF YORKSHIRE","","YORK","EAST RIDING OF YORKSHIRE",2021,64000
"EAST RIDING OF YORKSHIRE","DL7","NORTHALLERTON","EAST RIDING OF YORKSHIRE",2019,195000
"EAST RIDING OF YORKSHIRE","DN14","BROUGH","EAST RIDING OF YORKSHIRE",2020,8e+05
"EAST RIDING OF YORKSHIRE","DN14","GOOLE","EAST RIDING OF YORKSHIRE",2019,190739.968462549
"EAST RIDING OF YORKSHIRE","DN14","GOOLE","EAST RIDING OF YORKSHIRE",2020,202358.662921348
"EAST RIDING OF YORKSHIRE","DN14","GOOLE","EAST RIDING OF YORKSHIRE",2021,216572.95078534
"EAST RIDING OF YORKSHIRE","DN14","GOOLE","EAST RIDING OF YORKSHIRE",2022,240056.798063624
"EAST RIDING OF YORKSHIRE","DN17","SCUNTHORPE","EAST RIDING OF YORKSHIRE",2019,156585
"EAST RIDING OF YORKSHIRE","DN8","DONCASTER","EAST RIDING OF YORKSHIRE",2021,330000
"EAST RIDING OF YORKSHIRE","HU10","HULL","EAST RIDING OF YORKSHIRE",2019,245071.276102088
"EAST RIDING OF YORKSHIRE","HU10","HULL","EAST RIDING OF YORKSHIRE",2020,269834.769430052
"EAST RIDING OF YORKSHIRE","HU10","HULL","EAST RIDING OF YORKSHIRE",2021,317175.482683983
"EAST RIDING OF YORKSHIRE","HU10","HULL","EAST RIDING OF YORKSHIRE",2022,281670.271903323
"EAST RIDING OF YORKSHIRE","HU11","HULL","EAST RIDING OF YORKSHIRE",2019,193484.214285714
"EAST RIDING OF YORKSHIRE","HU11","HULL","EAST RIDING OF YORKSHIRE",2020,223807.192307692
"EAST RIDING OF YORKSHIRE","HU11","HULL","EAST RIDING OF YORKSHIRE",2021,238477.454545455
"EAST RIDING OF YORKSHIRE","HU11","HULL","EAST RIDING OF YORKSHIRE",2022,259355.317073171
"EAST RIDING OF YORKSHIRE","HU12","HULL","EAST RIDING OF YORKSHIRE",2019,220182.589041096
"EAST RIDING OF YORKSHIRE","HU12","HULL","EAST RIDING OF YORKSHIRE",2020,181967.626062323
"EAST RIDING OF YORKSHIRE","HU12","HULL","EAST RIDING OF YORKSHIRE",2021,191507.375227687
"EAST RIDING OF YORKSHIRE","HU12","HULL","EAST RIDING OF YORKSHIRE",2022,209547.314814815
"EAST RIDING OF YORKSHIRE","HU13","HESSLE","EAST RIDING OF YORKSHIRE",2019,220754.50877193
"EAST RIDING OF YORKSHIRE","HU13","HESSLE","EAST RIDING OF YORKSHIRE",2020,217766.359133127
"EAST RIDING OF YORKSHIRE","HU13","HESSLE","EAST RIDING OF YORKSHIRE",2021,224571.640625
"EAST RIDING OF YORKSHIRE","HU13","HESSLE","EAST RIDING OF YORKSHIRE",2022,240613.946308725
"EAST RIDING OF YORKSHIRE","HU14","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2019,365924.52892562
"EAST RIDING OF YORKSHIRE","HU14","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2020,343943
"EAST RIDING OF YORKSHIRE","HU14","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2021,376933.356363636
"EAST RIDING OF YORKSHIRE","HU14","NORTH FERRIBY","EAST RIDING OF YORKSHIRE",2022,370146.734375
"EAST RIDING OF YORKSHIRE","HU15","BROUGH","EAST RIDING OF YORKSHIRE",2019,244633.038961039
"EAST RIDING OF YORKSHIRE","HU15","BROUGH","EAST RIDING OF YORKSHIRE",2020,237754.923976608
"EAST RIDING OF YORKSHIRE","HU15","BROUGH","EAST RIDING OF YORKSHIRE",2021,253680.638268156
"EAST RIDING OF YORKSHIRE","HU15","BROUGH","EAST RIDING OF YORKSHIRE",2022,264967.396226415
"EAST RIDING OF YORKSHIRE","HU16","COTTINGHAM","EAST RIDING OF YORKSHIRE",2019,241763.811797753
"EAST RIDING OF YORKSHIRE","HU16","COTTINGHAM","EAST RIDING OF YORKSHIRE",2020,227246.401574803
"EAST RIDING OF YORKSHIRE","HU16","COTTINGHAM","EAST RIDING OF YORKSHIRE",2021,238375.401886792
"EAST RIDING OF YORKSHIRE","HU16","COTTINGHAM","EAST RIDING OF YORKSHIRE",2022,238137.664335664
"EAST RIDING OF YORKSHIRE","HU17","BEVERLEY","EAST RIDING OF YORKSHIRE",2019,266088.06712963
"EAST RIDING OF YORKSHIRE","HU17","BEVERLEY","EAST RIDING OF YORKSHIRE",2020,274334.045152722
"EAST RIDING OF YORKSHIRE","HU17","BEVERLEY","EAST RIDING OF YORKSHIRE",2021,294521.285954584
"EAST RIDING OF YORKSHIRE","HU17","BEVERLEY","EAST RIDING OF YORKSHIRE",2022,295853.286486486
"EAST RIDING OF YORKSHIRE","HU18","HORNSEA","EAST RIDING OF YORKSHIRE",2019,168471.336585366
"EAST RIDING OF YORKSHIRE","HU18","HORNSEA","EAST RIDING OF YORKSHIRE",2020,200508.505154639
"EAST RIDING OF YORKSHIRE","HU18","HORNSEA","EAST RIDING OF YORKSHIRE",2021,209942.978723404
"EAST RIDING OF YORKSHIRE","HU18","HORNSEA","EAST RIDING OF YORKSHIRE",2022,211820.71257485
"EAST RIDING OF YORKSHIRE","HU19","WITHERNSEA","EAST RIDING OF YORKSHIRE",2019,116366.503649635
"EAST RIDING OF YORKSHIRE","HU19","WITHERNSEA","EAST RIDING OF YORKSHIRE",2020,122086.818181818
"EAST RIDING OF YORKSHIRE","HU19","WITHERNSEA","EAST RIDING OF YORKSHIRE",2021,139875.136690647
"EAST RIDING OF YORKSHIRE","HU19","WITHERNSEA","EAST RIDING OF YORKSHIRE",2022,142261.1171875
"EAST RIDING OF YORKSHIRE","HU20","COTTINGHAM","EAST RIDING OF YORKSHIRE",2019,318306.25
"EAST RIDING OF YORKSHIRE","HU20","COTTINGHAM","EAST RIDING OF YORKSHIRE",2020,259937.5
"EAST RIDING OF YORKSHIRE","HU20","COTTINGHAM","EAST RIDING OF YORKSHIRE",2021,277824.954545455
"EAST RIDING OF YORKSHIRE","HU20","COTTINGHAM","EAST RIDING OF YORKSHIRE",2022,291777.272727273
"EAST RIDING OF YORKSHIRE","HU4","HULL","EAST RIDING OF YORKSHIRE",2019,145896.296296296
"EAST RIDING OF YORKSHIRE","HU4","HULL","EAST RIDING OF YORKSHIRE",2020,141750.041666667
"EAST RIDING OF YORKSHIRE","HU4","HULL","EAST RIDING OF YORKSHIRE",2021,164690.927272727
"EAST RIDING OF YORKSHIRE","HU4","HULL","EAST RIDING OF YORKSHIRE",2022,172976.744186047
"EAST RIDING OF YORKSHIRE","HU5","HULL","EAST RIDING OF YORKSHIRE",2019,137192.5
"EAST RIDING OF YORKSHIRE","HU5","HULL","EAST RIDING OF YORKSHIRE",2020,149236.363636364
"EAST RIDING OF YORKSHIRE","HU5","HULL","EAST RIDING OF YORKSHIRE",2021,160866.666666667
"EAST RIDING OF YORKSHIRE","HU5","HULL","EAST RIDING OF YORKSHIRE",2022,185848.888888889
"EAST RIDING OF YORKSHIRE","HU6","HULL","EAST RIDING OF YORKSHIRE",2019,139098.5
"EAST RIDING OF YORKSHIRE","HU6","HULL","EAST RIDING OF YORKSHIRE",2020,138966.176470588
"EAST RIDING OF YORKSHIRE","HU6","HULL","EAST RIDING OF YORKSHIRE",2021,164853.448275862
"EAST RIDING OF YORKSHIRE","HU6","HULL","EAST RIDING OF YORKSHIRE",2022,180856.851851852
"EAST RIDING OF YORKSHIRE","HU7","HULL","EAST RIDING OF YORKSHIRE",2019,200772.5
"EAST RIDING OF YORKSHIRE","HU7","HULL","EAST RIDING OF YORKSHIRE",2020,220573.076923077
"EAST RIDING OF YORKSHIRE","HU7","HULL","EAST RIDING OF YORKSHIRE",2021,231150.3125
"EAST RIDING OF YORKSHIRE","HU7","HULL","EAST RIDING OF YORKSHIRE",2022,212461.538461538
"EAST RIDING OF YORKSHIRE","YO15","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2019,162891.193083573
"EAST RIDING OF YORKSHIRE","YO15","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2020,175379.102389078
"EAST RIDING OF YORKSHIRE","YO15","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2021,185488.014527845
"EAST RIDING OF YORKSHIRE","YO15","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2022,179864.749445676
"EAST RIDING OF YORKSHIRE","YO16","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2019,144416.520576132
"EAST RIDING OF YORKSHIRE","YO16","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2020,157349.860674157
"EAST RIDING OF YORKSHIRE","YO16","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2021,181279.082568807
"EAST RIDING OF YORKSHIRE","YO16","BRIDLINGTON","EAST RIDING OF YORKSHIRE",2022,174949.6
"EAST RIDING OF YORKSHIRE","YO25","DRIFFIELD","EAST RIDING OF YORKSHIRE",2019,219191.930656934
"EAST RIDING OF YORKSHIRE","YO25","DRIFFIELD","EAST RIDING OF YORKSHIRE",2020,219094.871287129
"EAST RIDING OF YORKSHIRE","YO25","DRIFFIELD","EAST RIDING OF YORKSHIRE",2021,246611.868421053
"EAST RIDING OF YORKSHIRE","YO25","DRIFFIELD","EAST RIDING OF YORKSHIRE",2022,286117.157458564
"EAST RIDING OF YORKSHIRE","YO4","YORK","EAST RIDING OF YORKSHIRE",2019,247999
"EAST RIDING OF YORKSHIRE","YO4","YORK","EAST RIDING OF YORKSHIRE",2022,95000
"EAST RIDING OF YORKSHIRE","YO41","YORK","EAST RIDING OF YORKSHIRE",2019,270817.941391941
"EAST RIDING OF YORKSHIRE","YO41","YORK","EAST RIDING OF YORKSHIRE",2020,285728.776859504
"EAST RIDING OF YORKSHIRE","YO41","YORK","EAST RIDING OF YORKSHIRE",2021,328208.317919075
"EAST RIDING OF YORKSHIRE","YO41","YORK","EAST RIDING OF YORKSHIRE",2022,397180.984615385
"EAST RIDING OF YORKSHIRE","YO42","YORK","EAST RIDING OF YORKSHIRE",2019,284935.139720559
"EAST RIDING OF YORKSHIRE","YO42","YORK","EAST RIDING OF YORKSHIRE",2020,298150.199561403
"EAST RIDING OF YORKSHIRE","YO42","YORK","EAST RIDING OF YORKSHIRE",2021,290576.280701754
"EAST RIDING OF YORKSHIRE","YO42","YORK","EAST RIDING OF YORKSHIRE",2022,331762.962962963
"EAST RIDING OF YORKSHIRE","YO43","YORK","EAST RIDING OF YORKSHIRE",2019,231001.714776632
"EAST RIDING OF YORKSHIRE","YO43","YORK","EAST RIDING OF YORKSHIRE",2020,246864.685344828
"EAST RIDING OF YORKSHIRE","YO43","YORK","EAST RIDING OF YORKSHIRE",2021,265601.206303725
"EAST RIDING OF YORKSHIRE","YO43","YORK","EAST RIDING OF YORKSHIRE",2022,265157.469827586
"EAST RIDING OF YORKSHIRE","YO8","SELBY","EAST RIDING OF YORKSHIRE",2019,347647.375
"EAST RIDING OF YORKSHIRE","YO8","SELBY","EAST RIDING OF YORKSHIRE",2020,295083.333333333
"EAST RIDING OF YORKSHIRE","YO8","SELBY","EAST RIDING OF YORKSHIRE",2021,335550
"EAST RIDING OF YORKSHIRE","YO8","SELBY","EAST RIDING OF YORKSHIRE",2022,389120
"NORTH YORKSHIRE","","CARNFORTH","CRAVEN",2021,33000
"NORTH YORKSHIRE","","CATTERICK GARRISON","RICHMONDSHIRE",2022,60000
"NORTH YORKSHIRE","","DARLINGTON","RICHMONDSHIRE",2020,1891014
"NORTH YORKSHIRE","","DONCASTER","SELBY",2019,150000
"NORTH YORKSHIRE","","FILEY","SCARBOROUGH",2019,367500
"NORTH YORKSHIRE","","FILEY","SCARBOROUGH",2020,62000
"NORTH YORKSHIRE","","FILEY","SCARBOROUGH",2021,170000
"NORTH YORKSHIRE","","HARROGATE","HARROGATE",2019,374983.333333333
"NORTH YORKSHIRE","","HARROGATE","HARROGATE",2020,943368.333333333
