"PostCode","shortPostcode","Year","PAON","Price"
"DN11 9NF","DN11","2019","O",855500
"S63 7HG","S63","2019","S",180000
"S36 2UA","S36","2019","F",53000
"S72 9HR","S72","2019","D",305000
"DN11 0YQ","DN11","2019","F",65000
"DN10 6NB","DN10","2019","F",164000
"S25 4DB","S25","2019","D",475000
"DN5 7ZA","DN5","2019","F",80000
"LS28 6BN","LS28","2019","O",320000
"S60 5HE","S60","2019","S",170000
"HX2 6RL","HX2","2019","F",285000
"HD9 3TQ","HD9","2019","F",139950
"S36 2UA","S36","2019","F",55000
"LS12 3DH","LS12","2019","F",96500
"LS20 9BW","LS20","2019","F",146000
"LS18 5GT","LS18","2019","F",150000
"S60 5SU","S60","2019","T",70000
"LS25 6AA","LS25","2019","F",130000
"BD10 9UL","BD10","2019","F",119950
"LS23 7DZ","LS23","2019","F",4e+05
"HD3 4GZ","HD3","2019","F",62000
"LA6 3EH","LA6","2019","O",77500
"HG3 3LA","HG3","2019","O",210000
"HD7 5UN","HD7","2019","F",75000
"BD12 0SP","BD12","2019","O",56400
"LS23 6NA","LS23","2019","S",262500
"S25 5FS","S25","2019","T",275000
"HX4 0HF","HX4","2019","F",218000
"LS12 3DH","LS12","2019","F",103000
"BD10 0NY","BD10","2019","F",105000
"S65 4NS","S65","2019","F",195000
"HX6 4HT","HX6","2019","F",148000
"BD10 0NY","BD10","2019","F",156500
"LS1 4GQ","LS1","2019","F",244000
"S66 8LH","S66","2019","O",210000
"BD10 8AW","BD10","2019","F",52500
"S35 1RY","S35","2019","O",5000
"LS27 0HG","LS27","2019","O",25000
"BD10 8AW","BD10","2019","F",35000
"HD9 7JU","HD9","2019","F",108000
"YO51 9GY","YO51","2019","F",210000
"LS5 3BY","LS5","2019","F",155000
"LS5 3BY","LS5","2019","F",158500
"LS17 0EG","LS17","2019","F",217500
"OX10 0PX","OX10","2019","S",710000
"BD18 3LZ","BD18","2019","F",198283
"LS6 2AB","LS6","2019","F",190000
"LS25 5AP","LS25","2019","T",250000
"LS29 6QJ","LS29","2019","F",125000
"LS10 1HR","LS10","2019","F",225000
"HX2 6RL","HX2","2019","F",172000
"DL11 7LA","DL11","2019","T",147000
"YO62 5FE","YO62","2019","F",197000
"RG8 9AH","RG8","2019","F",750000
"OX10 6HJ","OX10","2019","S",550000
"BD18 3LZ","BD18","2019","F",165000
"LS27 8HD","LS27","2019","F",87000
"YO18 7LT","YO18","2019","D",340000
"OX10 9JU","OX10","2019","T",1050000
"HX2 7UW","HX2","2019","F",146000
"LS8 2BL","LS8","2019","F",70500
"LS10 1NH","LS10","2019","F",115000
"LS10 1NH","LS10","2019","F",123500
"HX2 6BL","HX2","2019","T",122500
"LS27 8BJ","LS27","2019","F",72500
"TS9 6SF","TS9","2019","F",195000
"OX29 8HQ","OX29","2019","F",168000
"OX14 3GN","OX14","2019","F",194000
"RG4 9RE","RG4","2019","F",254000
"OX7 4LW","OX7","2019","F",148000
"LS20 8LW","LS20","2019","F",122000
"BD11 2DH","BD11","2019","F",123000
"LS29 6GU","LS29","2019","F",394950
"BD11 1LS","BD11","2019","F",175000
"OX3 0HS","OX3","2019","F",290000
"OX12 9RG","OX12","2019","F",325000
"RG8 7HW","RG8","2019","F",237000
"LS13 1FE","LS13","2019","F",144950
"LS29 6GU","LS29","2019","F",439950
"WF3 2FR","WF3","2019","F",103000
"S64 8RE","S64","2019","F",125000
"DN3 1EP","DN3","2019","T",129500
"BD22 9TD","BD22","2019","S",315000
"LS28 6ER","LS28","2019","F",48500
"LS8 2WF","LS8","2019","F",260000
"LS18 4GS","LS18","2019","F",195000
"LS18 4GS","LS18","2019","F",153950
"LS18 4GS","LS18","2019","F",231950
"HG3 2GP","HG3","2019","F",235500
"OX11 6GY","OX11","2019","F",245000
"OX11 6GY","OX11","2019","F",299000
"OX15 0QN","OX15","2019","F",183000
"BD20 0ET","BD20","2019","F",130500
"LS10 1HR","LS10","2019","F",190000
"LS18 4GS","LS18","2019","F",230950
"SN6 8HG","SN6","2019","D",260000
"BD10 0LQ","BD10","2019","F",125000
"LS18 4GS","LS18","2019","F",159950
"LS29 6QW","LS29","2019","F",135000
"DN4 7AQ","DN4","2019","F",56000
"HX3 0TE","HX3","2019","T",210000
"HD8 9JU","HD8","2019","F",89950
"LS19 7FA","LS19","2019","F",127000
"BD10 8DF","BD10","2019","F",138000
"LS23 6HE","LS23","2019","F",154000
"OX3 9FU","OX3","2019","F",420000
"BD20 6TS","BD20","2019","F",90500
"WF13 4AA","WF13","2019","F",34000
"BD22 0BS","BD22","2019","T",170000
"LS18 4GS","LS18","2019","F",230000
"YO32 9TB","YO32","2019","F",160000
"OX7 3PU","OX7","2019","T",385000
"OX28 5DG","OX28","2019","F",260000
"LS29 6FB","LS29","2019","F",115000
"DL8 4NF","DL8","2019","F",147000
"YO31 9PR","YO31","2019","F",165000
"YO7 1TL","YO7","2019","T",207000
"LS26 0PD","LS26","2019","F",130000
"S75 5RN","S75","2019","F",85000
"DN5 8LL","DN5","2019","F",76000
"BD17 6PG","BD17","2019","F",127000
"LS27 8WQ","LS27","2019","F",84500
"S36 1BJ","S36","2019","F",82000
"BD17 7RE","BD17","2019","T",425000
"S36 2UA","S36","2019","F",50000
"HX4 0HG","HX4","2019","F",275000
"LS27 8WL","LS27","2019","F",116000
"DN7 5BJ","DN7","2019","S",69000
"BD18 3LX","BD18","2019","F",170000
"HD9 6FA","HD9","2019","F",195000
"HD9 6FA","HD9","2019","F",224950
"HD7 4HG","HD7","2019","F",104000
"S66 7LF","S66","2019","F",114995
"YO41 4AG","YO41","2019","D",327000
"YO51 9AH","YO51","2019","T",3e+05
"HG3 1EP","HG3","2019","F",140000
"OX3 9FX","OX3","2019","F",285000
"BD22 8NW","BD22","2019","F",117500
"WF3 2FY","WF3","2019","F",74000
"LS12 2EW","LS12","2019","F",92500
"OX3 9FQ","OX3","2019","F",409000
"BD23 5RZ","BD23","2019","T",140000
"YO61 3GP","YO61","2019","F",280000
"OX25 2PL","OX25","2019","T",210000
"YO61 3LF","YO61","2019","S",318000
"BD20 7RU","BD20","2019","D",232500
"OX13 5LF","OX13","2019","S",435000
"LS29 6GU","LS29","2019","F",229950
"YO62 7RE","YO62","2019","T",138000
"OX14 4BQ","OX14","2019","T",286000
"HD7 5FE","HD7","2019","F",185000
"DN7 6HP","DN7","2019","F",70000
"TS9 5NB","TS9","2019","D",180000
"YO8 9RU","YO8","2019","F",125000
"OX3 8AS","OX3","2019","T",380000
"OX3 0HA","OX3","2019","F",325000
"LA2 7ER","LA2","2019","D",255000
"OX4 6LR","OX4","2019","F",250000
"S8 7RL","S8","2019","F",115000
"OX3 9EF","OX3","2019","F",225000
"OX14 3GN","OX14","2019","F",207000
"OX5 2SX","OX5","2019","T",677000
"OX17 3PW","OX17","2019","T",630000
"OX3 8SF","OX3","2019","F",3e+05
"OX7 6FG","OX7","2019","F",125000
"LS29 7JF","LS29","2019","T",220000
"OX14 3AE","OX14","2019","F",3e+05
"OX27 8AD","OX27","2019","T",295000
"OX29 8LA","OX29","2019","F",215000
"OX27 8AD","OX27","2019","F",260000
"OX2 9TA","OX2","2019","F",121000
"BD20 8FG","BD20","2019","F",315000
"BD20 8FG","BD20","2019","F",189950
"BD20 8FG","BD20","2019","F",409950
"BD20 8FG","BD20","2019","F",165000
"BD20 8FG","BD20","2019","F",399950
"OX4 4TN","OX4","2019","F",380000
"YO7 1NJ","YO7","2019","T",220000
"YO61 1HX","YO61","2019","T",310000
"OX7 6GF","OX7","2019","F",115000
"S66 1AG","S66","2019","F",143000
"OX28 5DG","OX28","2019","F",235000
"HG5 9LA","HG5","2019","T",192500
"YO19 5HY","YO19","2019","S",3e+05
"BD23 5RZ","BD23","2019","T",128000
"S72 8EJ","S72","2019","D",287000
"YO62 6NF","YO62","2019","S",210000
"OX44 7UU","OX44","2019","S",472500
"BD20 8FG","BD20","2019","F",225000
"HG3 1BW","HG3","2019","F",170000
"HG3 2EG","HG3","2019","F",160000
"YO22 5ET","YO22","2019","T",179500
"DL8 4LS","DL8","2019","T",235000
"HG3 4BF","HG3","2019","D",885000
"YO17 6SH","YO17","2019","S",217500
"DN14 9QP","DN14","2019","D",230000
"OX18 3NB","OX18","2019","S",455000
"OX27 7PZ","OX27","2019","T",250000
"YO19 6JF","YO19","2019","F",150000
"YO22 5BT","YO22","2019","F",85000
"OX7 3LX","OX7","2019","T",567500
"OX3 8SF","OX3","2019","F",295000
"OX17 3FL","OX17","2019","F",218000
"S64 8RE","S64","2019","F",133000
"OX15 5QA","OX15","2019","S",220000
"HG3 1AF","HG3","2019","D",635000
"HG3 4LA","HG3","2019","F",116000
"OX3 7AU","OX3","2019","F",265000
"OX27 8AB","OX27","2019","T",386000
"S63 7LB","S63","2019","F",84000
"YO51 9AL","YO51","2019","T",117500
"HG3 1GW","HG3","2019","S",4e+05
"YO51 9FD","YO51","2019","F",144000
"OX10 6SZ","OX10","2019","T",310000
"S75 4DG","S75","2019","T",275000
"S74 9DH","S74","2019","F",85000
"S74 9DH","S74","2019","F",82000
"S74 9DH","S74","2019","F",58000
"DN14 9AT","DN14","2019","T",95000
"DN8 4AS","DN8","2019","D",230000
"S35 0ER","S35","2019","F",120000
"S72 8WL","S72","2019","F",63500
"DN5 7ZA","DN5","2019","F",95000
"DN5 7ZA","DN5","2019","F",67500
"S73 0FF","S73","2019","T",155000
"S75 3HZ","S75","2019","F",135000
"DN6 8QU","DN6","2019","F",57500
"S2 5AY","S2","2019","F",139250
"S72 8WL","S72","2019","F",70000
"S6 6AH","S6","2019","F",165000
"S25 5FS","S25","2019","T",163500
"S71 4QP","S71","2019","T",106000
"S2 5AY","S2","2019","F",130000
"S66 7LF","S66","2019","F",120000
"DN5 8LL","DN5","2019","F",60500
"HD9 4JA","HD9","2019","O",64950
"YO32 2QX","YO32","2019","F",2e+05
"YO32 2QX","YO32","2019","F",188000
"OX17 3PW","OX17","2019","F",610000
"BD23 6NQ","BD23","2019","F",205000
"DL7 8DE","DL7","2019","F",122500
"YO32 2HY","YO32","2019","F",105000
"OX3 9ED","OX3","2019","F",280000
"OX27 9BP","OX27","2019","S",385000
"YO7 1JB","YO7","2019","T",175000
"OX5 3DX","OX5","2019","F",230000
"OX3 8FU","OX3","2019","F",100625
"LS18 4LB","LS18","2019","F",166000
"LS18 5SR","LS18","2019","F",120000
"YO30 1AU","YO30","2019","T",233000
"OX15 4FN","OX15","2019","F",105000
"DN3 3EH","DN3","2019","O",25000
"YO7 4HH","YO7","2019","S",185000
"OX17 3NF","OX17","2019","D",420000
"RG8 9BT","RG8","2019","F",350150
"YO22 5HL","YO22","2019","D",105000
"BD20 7AJ","BD20","2019","F",195000
"YO19 6JU","YO19","2019","S",350000
"BD22 7JL","BD22","2019","T",142500
"YO14 0HW","YO14","2019","F",155000
"OX3 9FW","OX3","2019","F",345000
"OX29 4FS","OX29","2019","F",515000
"OX7 7DF","OX7","2019","O",228000
"OX7 3ET","OX7","2019","O",2057500
"OX14 3AE","OX14","2019","F",250000
"LS6 2AB","LS6","2019","F",213250
"LS10 1NG","LS10","2019","F",125000
"LS27 9AL","LS27","2019","T",150000
"LS13 4LD","LS13","2019","F",137000
"YO32 9NQ","YO32","2019","S",232000
"MK18 4AR","MK18","2019","D",415000
"OX3 9FW","OX3","2019","F",362500
"OX29 4FS","OX29","2019","F",465000
"LS19 6QZ","LS19","2019","S",460000
"LS29 6FE","LS29","2019","F",115000
"LS29 6FB","LS29","2019","F",68500
"HD7 5UN","HD7","2019","F",92000
"OX29 4AE","OX29","2019","F",235000
"BD22 7RZ","BD22","2019","F",185000
"BD20 7FB","BD20","2019","S",270100
"LS5 3BY","LS5","2019","F",169995
"LS5 3BY","LS5","2019","F",109995
"HD8 9JU","HD8","2019","O",84950
"HD8 9JU","HD8","2019","O",89950
"HD8 9JU","HD8","2019","O",79950
"RG8 0JN","RG8","2019","S",395000
"LS12 3DH","LS12","2019","F",94500
"LS20 9BR","LS20","2019","F",252000
"YO61 3JR","YO61","2019","S",230000
"YO7 3AR","YO7","2019","T",165000
"LS27 7WP","LS27","2019","F",101000
"LS18 4GS","LS18","2019","F",217500
"WF4 6LJ","WF4","2019","F",120000
"OX10 6HB","OX10","2019","S",560000
"OX29 4AE","OX29","2019","F",3e+05
"OX14 3AE","OX14","2019","F",245000
"OX3 7HG","OX3","2019","F",160000
"OX3 9FQ","OX3","2019","F",407500
"OX3 9FQ","OX3","2019","F",367500
"LS27 9DA","LS27","2019","F",97000
"BD10 8DF","BD10","2019","F",145000
"TS9 7EF","TS9","2019","D",405000
"LS29 6LA","LS29","2019","F",140000
"HD8 0TX","HD8","2019","F",124950
"LS27 7NU","LS27","2019","F",110000
"BD11 1NE","BD11","2019","F",193000
"HX4 8ER","HX4","2019","F",295000
"LS20 9BR","LS20","2019","F",220000
"LS10 4FT","LS10","2019","F",110000
"LS23 6HY","LS23","2019","S",330000
"HD9 2AJ","HD9","2019","F",76000
"LS10 4FT","LS10","2019","F",103000
"HX4 0HG","HX4","2019","F",135000
"HD9 6FA","HD9","2019","F",249950
"YO51 9EH","YO51","2019","T",250000
"BD18 3LX","BD18","2019","F",140000
"OX12 9RG","OX12","2019","F",365000
"OX2 9GT","OX2","2019","F",245000
"OX7 6BB","OX7","2019","F",157000
"OX11 0SJ","OX11","2019","F",285000
"OX28 5DG","OX28","2019","F",327500
"OX3 9FW","OX3","2019","F",370000
"HG3 5JZ","HG3","2019","T",124500
"LS18 5NQ","LS18","2019","F",105000
"YO24 1QR","YO24","2019","F",199000
"YO51 9GY","YO51","2019","F",172000
"BD23 3PH","BD23","2019","F",195000
"YO24 3DW","YO24","2019","F",119950
"HD7 5FE","HD7","2019","F",182950
"HD7 5FE","HD7","2019","F",199950
"HD7 4HG","HD7","2019","F",97500
"BD20 7EF","BD20","2019","F",204000
"YO32 9TB","YO32","2019","F",157000
"OX4 4TW","OX4","2019","F",330000
"OX17 3EP","OX17","2019","F",183000
"MK18 4BE","MK18","2019","T",3e+05
"OX12 9NS","OX12","2019","F",188000
"DN14 0QU","DN14","2019","S",150000
"RG8 0AQ","RG8","2019","F",285000
"BD20 9AT","BD20","2019","F",91000
"YO13 0QU","YO13","2019","F",85000
"YO13 9LT","YO13","2019","D",420000
"OX18 2BT","OX18","2019","D",431000
"YO13 9AR","YO13","2019","D",218000
"YO51 9QY","YO51","2019","S",5e+05
"WF11 8PL","WF11","2019","O",401000
"HD7 5UN","HD7","2019","F",65000
"LS12 3NL","LS12","2019","F",38000
"S36 2UA","S36","2019","F",60000
"LS18 5GN","LS18","2019","F",119000
"RG9 5QT","RG9","2019","S",585000
"BD23 4EY","BD23","2019","F",98000
"OX12 9NS","OX12","2019","F",185800
"SN7 8JB","SN7","2019","S",271750
"OX29 8JB","OX29","2019","F",207500
"YO10 4QG","YO10","2019","F",170000
"BD20 9DW","BD20","2019","F",124950
"LS24 9PY","LS24","2019","S",430000
"HD9 2NQ","HD9","2019","O",260000
"DN9 3NT","DN9","2019","O",975000
"HD9 4JA","HD9","2019","F",64950
"HD9 4JA","HD9","2019","O",71950
"WF11 9HQ","WF11","2019","S",160000
"YO18 8PJ","YO18","2019","D",275000
"YO31 9PN","YO31","2019","F",134000
"S35 0ER","S35","2019","F",112000
"LS5 3BY","LS5","2019","F",108000
"YO26 6QW","YO26","2019","O",235000
"S72 7BF","S72","2019","O",85000
"LS27 0ES","LS27","2019","O",2000
"YO7 4BZ","YO7","2019","O",325000
"OX11 0PF","OX11","2019","O",280000
"LS27 8LD","LS27","2019","F",86000
"LS12 3DL","LS12","2019","F",98000
"LS18 4GS","LS18","2019","F",186950
"LS12 2EW","LS12","2019","F",1e+05
"LS26 9ET","LS26","2019","T",322000
"LS18 4GS","LS18","2019","F",233950
"LS18 4GS","LS18","2019","F",190950
"LS18 4GS","LS18","2019","F",229950
"HD7 4HG","HD7","2019","F",82500
"LS29 0JY","LS29","2019","D",2e+05
"LS18 4GS","LS18","2019","F",164950
"LS18 4GS","LS18","2019","F",149950
"WF3 2FZ","WF3","2019","F",76000
"LA2 7ER","LA2","2019","D",225000
"TS9 7ER","TS9","2019","F",107500
"YO51 9AA","YO51","2019","F",97500
"OX29 8ST","OX29","2019","F",220000
"OX12 9NS","OX12","2019","F",190000
"OX3 9DA","OX3","2019","F",1060000
"LA2 7EQ","LA2","2019","T",168000
"YO30 1AJ","YO30","2019","S",267000
"YO8 9TD","YO8","2019","F",110000
"OX3 7AF","OX3","2019","F",243000
"OX3 8SF","OX3","2019","F",345000
"LA2 8BE","LA2","2019","S",197000
"OX3 0HS","OX3","2019","F",335000
"YO60 6NU","YO60","2019","T",355000
"OX15 4ES","OX15","2019","F",450000
"LS27 9SE","LS27","2019","O",140000
"LS10 1DR","LS10","2019","O",3200000
"OX2 9TA","OX2","2019","T",210000
"LS18 4FB","LS18","2019","O",160000
"LS6 1FH","LS6","2019","F",308950
"LS25 4AN","LS25","2019","O",120000
"LS5 3BY","LS5","2019","F",99996
"HD8 9JU","HD8","2019","O",94950
"LS27 0JG","LS27","2019","O",309600
"DN6 9BD","DN6","2019","T",205000
"OX18 2SH","OX18","2019","S",227000
"OX3 7SP","OX3","2019","F",364000
"HX7 7PG","HX7","2019","O",378000
"HX7 5SJ","HX7","2019","O",4e+05
"LA6 3LE","LA6","2019","S",290000
"YO24 3FF","YO24","2019","F",92500
"YO60 7PZ","YO60","2019","S",225000
"OX11 0DX","OX11","2019","T",310000
"OX29 4FS","OX29","2019","F",355000
"YO21 1RY","YO21","2019","F",240000
"OX2 8PE","OX2","2019","D",395000
"OX3 9FW","OX3","2019","F",365000
"OX3 9FW","OX3","2019","F",385000
"BD24 0BY","BD24","2019","F",120000
"YO22 5EH","YO22","2019","F",215000
"HG3 2GL","HG3","2019","S",125000
"WF4 3ES","WF4","2019","T",2e+05
"HX2 6HD","HX2","2019","F",107000
"WF9 4DG","WF9","2019","S",140000
"LS20 8NX","LS20","2019","S",330000
"HX6 4RY","HX6","2019","F",195000
"WF13 4AA","WF13","2019","D",235000
"LS10 1HQ","LS10","2019","F",170250
"BD22 0RQ","BD22","2019","F",115000
"BD22 8LE","BD22","2019","F",126000
"BD11 2EQ","BD11","2019","F",112000
"BD22 9EQ","BD22","2019","T",265000
"LS8 1JG","LS8","2019","F",247000
"BD22 0HG","BD22","2019","T",175000
"HD8 9RW","HD8","2019","T",280000
"LS10 1NH","LS10","2019","F",175000
"WF8 3HS","WF8","2019","D",305000
"LS20 9BW","LS20","2019","F",135000
"LS20 9BW","LS20","2019","F",155000
"WF4 6LJ","WF4","2019","F",1e+05
"LS29 7JJ","LS29","2019","F",180000
"LS20 9EP","LS20","2019","F",114000
"HD3 4GZ","HD3","2019","F",89500
"LS8 2QW","LS8","2019","F",295000
"YO51 9QY","YO51","2019","S",285000
"YO19 6SJ","YO19","2019","D",3e+05
"LS17 9DB","LS17","2019","F",205000
"HD3 4UP","HD3","2019","F",62000
"BD22 7RZ","BD22","2019","T",239950
"HX2 6RN","HX2","2019","F",118000
"BD10 0NY","BD10","2019","F",131500
"YO7 1JN","YO7","2019","F",165000
"BD23 3PH","BD23","2019","F",247500
"LS20 8LY","LS20","2019","F",175000
"LS20 9DD","LS20","2019","S",575000
"BD18 3LX","BD18","2019","F",175000
"LS8 2BL","LS8","2019","F",77000
"LS8 2BL","LS8","2019","F",93500
"LS18 5NG","LS18","2019","F",145000
"S36 8AP","S36","2019","D",425000
"S60 5FS","S60","2019","O",2902343
"HG3 2GP","HG3","2019","F",170000
"YO7 4LG","YO7","2019","O",75000
"MK18 4AR","MK18","2019","D",450000
"S26 7YR","S26","2019","D",270000
"DN4 6DA","DN4","2019","F",50000
"DN10 6NB","DN10","2019","F",187999
"DN10 6NB","DN10","2019","F",285999
"DN10 6NB","DN10","2019","F",194999
"OX25 1TG","OX25","2019","O",815000
"DN4 0DD","DN4","2019","F",59000
"OX29 8GH","OX29","2019","D",350000
"S26 7YR","S26","2019","D",202500
"S70 3QF","S70","2019","T",217500
"DN3 3DY","DN3","2019","O",295000
"S61 4RD","S61","2019","S",310000
"S75 4DG","S75","2019","T",250000
"LS7 3QF","LS7","2019","F",263000
"BD18 3LX","BD18","2019","F",120000
"DN7 6LG","DN7","2019","T",120000
"LS25 3AE","LS25","2019","T",140000
"BD15 0DW","BD15","2019","T",342500
"BD13 4DX","BD13","2019","T",180000
"DN9 3BA","DN9","2019","S",117000
"BD20 0ET","BD20","2019","F",143000
"LS10 1HQ","LS10","2019","F",175000
"LS6 1FH","LS6","2019","F",179950
"LS18 4GS","LS18","2019","F",362500
"LS27 8BW","LS27","2019","F",269950
"LS18 5BS","LS18","2019","F",154500
"LS18 5NQ","LS18","2019","F",345000
"LS26 8LJ","LS26","2019","F",125000
"LS27 7GS","LS27","2019","D",295000
"LS13 3JX","LS13","2019","F",42000
"HD7 5FE","HD7","2019","F",189950
"BD17 6BS","BD17","2019","F",249999
"BD13 3JB","BD13","2019","F",42500
"BD20 6PP","BD20","2019","F",86000
"HD7 4HG","HD7","2019","F",86000
"LS27 8JG","LS27","2019","F",110000
"LS10 1NW","LS10","2019","F",212000
"WF11 8PL","WF11","2019","S",165000
"LS29 6FE","LS29","2019","F",106000
"BD22 7RZ","BD22","2019","F",173400
"LS23 6BP","LS23","2019","T",217000
"LS13 4LD","LS13","2019","F",130000
"BD19 6EP","BD19","2019","F",138000
"LS29 7HT","LS29","2019","T",174000
"HX4 0HF","HX4","2019","F",152500
